sessionID, sessionTimestamp
1, 1511889333109
2, 1511889617316
3, 1511889731237
4, 1511889875123
5, 1512061211477
6, 1512067221230
7, 1512067326852
8, 1512067414023
9, 1512067492316
10, 1512135168269
11, 1512135302804
12, 1512135594678
